

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
4.99594,0,0,2.339,2,8189,0,215,0,4.19328
4.40216,0,0,2.382,2,8189,0,191,0,2.70234
4.44862,0,0,2.789,2,8189,0,196,0,2.98189
4.41329,0,0,2.802,2,8189,0,193,0,5.03194
4.16934,0,0,3.019,2,8189,0,181,0,10.7744
4.33214,0,0,2.344,2,8191,0,191,0,13.104
4.06435,0,0,3.186,2,8191,0,177,0,8.32832
4.12254,0,0,2.881,2,8189,0,180,0,4.85722
4.11123,0,0,2.414,2,8189,0,181,0,4.368
4.8797,0,0,3.407,2,8189,0,210,0,7.71098
5.19412,0,0,2.452,2,8189,0,224,0,5.12512
3.77341,0,0,4.55,2,8191,0,167,0,3.62253
3.50566,0,0,3.317,2,8189,0,157,0,2.94694
3.89,0,0,3.513,2,8190,0,171,0,3.42451
4.6119,0,0,2.377,2,8189,0,200,0,4.57766
5.17056,0,0,2.39,2,8191,0,223,0,12.5565
4.97252,0,0,2.081,2,8189,0,217,0,10.5764
4.821,0,0,2.626,2,8189,0,209,0,8.1536
5.53147,0,0,1.953,2,8189,0,240,0,3.97197
5.85792,0,0,2.051,2,8189,0,252,0,4.55437
5.17058,0,0,2.447,2,8189,0,224,0,7.93229
5.20571,0,0,2.395,2,8189,0,224,0,3.98362
4.28559,0,0,2.768,2,8189,0,187,0,4.9271
4.34377,0,0,2.918,2,8189,0,188,0,5.87059
4.84474,0,0,2.37,2,8189,0,211,0,6.4297
4.83297,0,0,2.455,2,8189,0,211,0,3.94867
5.39212,0,0,2.24,2,8189,0,233,0,3.24979
5.27606,0,0,2.572,2,8189,0,229,0,4.03021
4.08791,0,0,3.044,2,8189,0,180,0,5.11347
4.63544,0,0,2.13,2,8191,0,202,0,3.44781
5.32255,0,0,2.174,2,8189,0,229,0,3.43616
5.91647,0,0,2.621,2,8189,0,255,0,10.3551
5.44985,0,0,2.736,2,8189,0,236,0,14.3503
5.01905,0,0,2.788,2,8189,0,218,0,5.97542
6.0903,0,0,2.174,2,8189,0,262,0,4.67085
5.67135,0,0,1.922,2,8189,0,244,0,5.92883
5.31046,0,0,2.124,2,8189,0,230,0,8.68941
4.84463,0,0,3.11,2,8189,0,211,0,5.25325
4.86804,0,0,2.356,2,8189,0,212,0,4.48448
5.25232,0,0,1.983,2,8189,0,228,0,3.5177
4.73993,0,0,2.172,2,8191,0,208,0,3.64582
5.29891,0,0,2.223,2,8189,0,228,0,6.80243
5.99768,0,0,2.184,2,8189,0,259,0,7.34989
5.14779,0,0,2.107,2,8191,0,224,0,5.47456
5.90496,0,0,2.242,2,8189,0,255,0,6.55782
5.46206,0,0,2.35,2,8189,0,235,0,14.8628
5.32214,0,0,2.437,2,8189,0,231,0,11.9625
5.19337,0,0,2.838,2,8189,0,226,0,8.96896
4.80966,0,0,3.206,2,8189,0,210,0,7.40813
3.97108,0,0,2.849,2,8189,0,175,0,3.55264
4.96117,0,0,2.647,2,8189,0,216,0,3.48275
3.98294,0,0,3.584,2,8189,0,174,0,7.90899
4.00626,0,0,4.568,2,8189,0,176,0,8.47974
3.91304,0,0,5.529,2,8189,0,172,0,7.28
4.41373,0,0,2.442,2,8189,0,193,0,4.6359
4.35581,0,0,2.82,2,8189,0,192,0,3.41286
4.32068,0,0,3.026,2,8189,0,189,0,3.70406
4.32092,0,0,2.929,2,8189,0,191,0,3.70406
4.70497,0,0,2.316,2,8189,0,206,0,4.1001
5.12457,0,0,2.407,2,8189,0,222,0,3.87878
4.53058,0,0,2.392,2,8189,0,197,0,4.33306
4.93819,0,0,2.901,2,8189,0,214,0,4.99699
4.27388,0,0,4.55,2,8189,0,187,0,7.51296
2.10783,0,0,4.78,2,8189,0,96,0,5.07853
3.43543,0,0,4.161,2,8189,0,154,0,4.72909
3.15589,0,0,3.108,2,8189,0,138,0,4.11174
3.30722,0,0,3.356,2,8191,0,149,0,3.85549
2.64362,0,0,5.638,2,8189,0,120,0,4.82227
2.49213,0,0,4.152,2,8189,0,111,0,4.06515
2.23592,0,0,5.1,2,8189,0,102,0,3.28474
3.42382,0,0,3.343,2,8189,0,156,0,2.90035
3.22533,0,0,3.12,2,8191,0,143,0,2.65574
4.41394,0,0,3.081,2,8191,0,191,0,3.02848
2.56223,0,0,3.091,2,8191,0,118,0,2.87706
3.79675,0,0,2.42,2,8191,0,166,0,3.54099
3.09807,0,0,3.735,2,8189,0,138,0,3.14496
3.70371,0,0,2.795,2,8189,0,163,0,2.912
4.06454,0,0,3.02,2,8189,0,178,0,3.23814
3.31889,0,0,5.24,2,8190,0,148,0,2.8887
4.00595,0,0,3.385,2,8191,0,175,0,3.44781
3.14424,0,0,3.424,2,8191,0,141,0,2.77222
2.17774,0,0,5.303,2,8191,0,102,0,2.11994
2.96961,0,0,4.106,2,8189,0,134,0,2.13158
2.81838,0,0,4.905,2,8191,0,128,0,2.05005
2.65517,0,0,6.731,2,8191,0,120,0,2.24806
