

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
26.4126,0,2,29.598,9779,8163,51.8995,66,2,1209.19
21.2299,0,3,41.849,5855,8162,66.8247,61,3,177.632
20.2054,0,4,43.558,14068,8184,91.8047,61,4,1034.53
22.8266,0,2,38.096,10685,8188,42.1335,64,2,1860.1
24.5852,0,4,31.46,7339,8185,51,71,4,1853.16
27.2747,0,2,30.92,11711,8191,53.8157,67,2,2602.96
29.593,0,2,29.176,12094,8154,58.3803,74,2,1841.14
26.472,0,0,42.795,14748,8083,20.6487,68,0,2150.48
24.4342,0,3,45.032,11294,8186,27.2605,63,3,2436.55
27.2883,0,1,32.718,13855,8135,29.9864,68,1,36.4
25.2963,0,2,40.474,11556,8165,36.5667,70,2,1865.4
26.2982,0,3,37.712,12985,8164,48.2909,66,3,1505.71
24.8283,0,2,41.378,28084,8131,53.2429,65,2,4404.11
25.9215,0,1,45.543,14459,8141,53.142,63,1,949.196
29.6364,0,1,47.463,21953,8178,56.9835,68,1,38.5199
27.5291,0,1,58.153,13061,8158,51.273,66,1,1780.89
20.7175,0,1,69.308,5921,8167,25.2132,68,1,2900.81
20.2982,0,5,75.713,32637,8173,38.254,58,5,920.611
18.4354,0,1,160.355,12319,8139,43,44,1,33.6045
22.8609,0,9,434.856,105937,8161,48.058,79,6,2812.35
31.0016,0,1,32.483,8610,8146,49.2419,70,1,3317.71
26.506,0,1,39.393,21681,8167,47.8286,72,1,2757.54
27.286,0,3,33.156,10337,8166,66.9775,66,3,35.4798
31.5258,0,1,34.292,12253,8157,31.1202,71,1,3132.54
27.7188,0,3,31.587,14460,8111,38.254,63,3,2743.36
30.6311,0,1,24.359,7058,8191,40.2676,76,1,1914.97
29.0575,0,0,29.477,8106,8121,28.5256,69,0,52.1015
30.0216,0,1,27.43,3989,8070,29.4376,71,1,1213.44
29.4055,0,1,32.011,2817,8142,32.9739,75,1,36.994
29.8254,0,0,33.006,8034,8123,31.049,77,0,42.1541
27.9613,0,0,33.227,12133,8190,30.244,67,0,2441.74
31.9081,0,0,31.855,3819,8189,21.7968,73,0,1713.35
28.0539,0,1,33.991,6524,8156,20.4687,73,1,1003.39
28.3563,0,2,35.291,4304,8191,25.8787,72,2,612.72
30.5477,0,2,26.146,8357,8117,32.5403,69,2,1536.93
28.6246,0,0,37.689,5771,8186,31.2304,72,0,239.599
29.9645,0,0,27.99,15872,8168,30.4394,73,0,49.9583
30.8508,0,3,43.311,3318,8151,41.9893,72,3,71.4139
30.1174,0,0,25.905,7405,8180,37.6766,78,0,1189.67
32.1778,0,1,31.463,11756,8180,37.5996,67,1,2873.17
32.2488,0,1,27.618,14106,8170,20.4,68,1,2691.01
26.9729,0,12,32.56,14817,8191,27.844,68,4,952.655
26.3541,0,3,32.101,6658,8164,37.9356,64,3,930.955
29.5904,0,0,30.512,12901,8191,31.2769,73,0,1977.29
28.7167,0,0,30.022,10398,8146,13.6454,72,0,598.486
32.1987,0,1,25.065,17761,8191,15.3127,72,1,4139.61
30.521,0,1,30.884,9526,8123,16.6877,73,1,2382.71
29.4983,0,1,28.507,2761,8139,18.3546,73,1,1549.96
29.7436,0,1,31.621,2886,8176,20.9882,74,1,51.589
29.0909,0,1,33.846,4255,8131,22.7728,69,1,246.029
30.6401,0,0,27.511,14023,8109,21.9038,75,0,3242.94
27.9497,0,1,32.989,6044,8174,19.5692,71,1,3040.1
29.9648,0,4,29.437,8058,8162,21.1081,71,2,2643.64
28.6975,0,1,29.357,14119,8191,21.8394,67,1,2724.48
25.9008,0,1,49.036,7612,8191,22.6773,72,1,1148.02
31.1899,0,0,26.984,2787,8164,19.6,74,0,1983.06
26.1466,0,2,41.422,8099,8161,20.9946,66,2,261.567
26.7747,0,1,27.665,9874,8152,22.332,72,1,3276.48
26.3303,0,4,50.261,18598,8145,34.6361,63,4,3275.3
24.781,0,2,47.102,11104,8191,42,73,2,729.072
18.2827,0,2,31.629,5519,8146,47.9445,55,1,54.1865
28.7771,0,1,29.667,2101,8161,51.9699,72,1,37.1338
28.3218,0,2,31.721,10067,8176,59.0698,69,2,3096.59
30.4895,0,2,26.54,7577,8159,65.2129,75,2,376.801
28.2172,0,0,26.661,14802,8141,27.8089,70,0,3071.36
27.8216,0,2,29.38,10559,8175,29.6225,70,2,4140.88
33.1097,0,0,34.73,22634,8151,21.341,74,0,3647.8
30.2108,0,3,31.745,2853,8125,30.9642,72,3,95.9912
26.4719,0,2,29.043,3640,8186,36.4415,69,2,1544.44
26.4265,0,0,33.535,4179,8179,34.8855,69,0,123.422
30.5839,0,1,28.953,7053,8132,38.0343,75,1,50.2844
26.0421,0,1,43.515,10847,8170,35.936,67,1,2095.7
26.8315,0,1,34.027,10147,8190,30.312,62,1,2347.79
28.5675,0,1,35.571,4652,8175,18.9968,75,1,108.711
29.1133,0,2,29.562,6103,8184,23.9975,72,2,121.093
28.5894,0,2,25.218,7157,8099,28.5038,70,2,2348.63
31.7681,0,0,35.359,5630,8191,26.4097,79,0,1102.87
27.2396,0,14,33.811,9861,8119,35.2386,64,4,2579.22
31.5488,0,1,36.517,11619,8135,36.2397,70,1,1821.07
29.2076,0,0,28.346,8230,8161,24.5055,71,0,334.006
29.6266,0,2,35.453,16771,8173,29.6168,72,2,557.007
27.8222,0,0,33.708,6881,8190,27.0179,74,0,764.971
28.2062,0,0,27.901,5549,8189,23.7088,67,0,2476.69
28.8586,0,0,29.22,7253,8148,12.4254,72,0,2073.02
31.8521,0,1,25.049,7959,8138,12.5428,73,1,793.788
29.2549,0,14,32.327,7477,8146,16.7599,66,2,2287
30.9445,0,0,32.569,9704,8159,15.7267,71,0,1044.06
27.6825,0,1,55.346,8327,8159,17.9907,67,1,35.4449
29.7541,0,0,34.031,5708,8183,17.6934,75,0,1592.81
31.8849,0,1,30.298,5735,8108,19.0376,74,1,1788.08
31.5124,0,1,39.278,11573,8158,20.2533,73,1,2613.95
33.2256,0,1,28.432,9403,8169,21.9456,79,1,1226.98
27.0768,0,2,38.563,11726,8122,26.4905,66,2,96.4105
28.9174,0,0,32.887,15277,8117,24.0036,65,0,1069.99
30.6753,0,2,32.409,12637,8191,23.9946,72,2,82.6193
31.4198,0,2,27.222,8254,8174,29.5234,72,2,67.605
28.3568,0,0,27.895,13039,8127,27.1875,70,0,1514.68
31.5375,0,0,29.282,4160,8191,22.4658,77,0,359.119
30.547,0,0,29.396,3369,8173,13.7127,75,0,2091.24
32.1659,0,2,29.137,18005,8191,15.1284,72,2,2443.1
28.6491,0,2,35.452,7139,8152,19.2304,68,2,2654.54
28.5341,0,0,33.019,5255,8138,17.7936,76,0,614.781
29.2329,0,0,27.166,12174,8175,13.7903,74,0,4304.93
30.1526,0,2,30.782,7754,8171,17.5882,71,2,2107.55
30.6851,0,0,30.507,5510,8190,16.4787,72,0,1606.7
25.8308,0,0,33.733,8725,8142,15.4597,65,0,2022.29
23.7447,0,3,36.953,7322,8181,22.9918,66,3,63.7029
27.5759,0,2,26.915,8490,8172,28.9907,75,2,37.4134
28.5557,0,0,35.882,5122,8191,28.0208,69,0,2482.92
27.9962,0,2,30.992,5783,8171,33.1939,68,2,1337.8
30.0587,0,5,30.132,8204,8164,50.7825,67,5,186.135
29.3826,0,3,30.39,3539,8172,60.463,75,3,858.341
28.3463,0,2,33.087,19085,8184,50.7649,70,2,4297.02
28.2664,0,2,27.734,11459,8114,28.9914,70,2,477.393
28.3123,0,0,29.821,9532,8163,27.005,72,0,850.886
15.8973,0.0815246,0,25.029,6351,8155,26.4494,41,0,498.872
0,0,0,25.029,6351,8155,26.4494,0,0,498.872
0,0,0,25.029,6351,8155,26.4494,0,0,498.872
0,0,0,25.029,6351,8155,26.4494,0,0,498.872
0,0,0,25.029,6351,8155,26.4494,0,0,498.872
0,0,0,25.029,6351,8155,26.4494,0,0,498.872


